#name,url,encoding,icon,profile,buffering,force-http,volume,referer,player
Blasmusikradio mit Bernd,https://stream.laut.fm/blasmusikradio_mit_bernd,,,,,,,,
psyradio * fm - progressive,http://streamer.psyradio.org:8010/;listen.mp3,,,,,,,,
WDR Sportschau - 2. Fussball Bundesliga-Konferenz LIVE,http://wdr-sportschau-liga2konferenz.icecastssl.wdr.de/wdr/sportschau/liga2konferenz/mp3/high,,,,,,,,
ROCKANTENNE Alternative (mp3),https://stream.rockantenne.de/alternative/stream/mp3,,,,,,,,
- 100 % - HANDSUP <3 - Non-stop 140 BPM,https://club-high.rautemusik.fm/?ref=radiobrowser-100-handsup,,,,,,,,
"- DJ & CLUB CHARTS ---> Club Classics, Festival-Hits, Remixes, Single Charts, Mashups, DJ Sets, Club Edits, Dancefloor, Underground, Nightlife, Party Anthems, Ibiza, Miami, Clubbing, Festival, Remix, Mashup, DJ, EDM,  RAVE, Dance, Urban, Latin, Beachclub, Lounge",https://breakz-2012-high.rautemusik.fm/?ref=rb-djclubcharts,,,,,,,,
"- NEUERSCHEINUNGEN - Radio Charts - DJ Charts - Club Charts - Top 100 - Top 40 Club - Pop, Hip-Hop, Dance, EDM, House, Techno, R&B, Trap, Reggaeton, Afrobeat, Indie-Pop, Tropical House, Future Bass, Electro Swing, Synthwave, Deep House, Progressive House, Vocal House, DJ Sets, Remix, Mashup, Dancefloor, Festival-Hits, Club-Hits, Nightlife, Underground.",https://breakz-high.rautemusik.fm/?ref=rb-neuerscheinungen,,,,,,,,
Bremen Zwei NEU,https://icecast.radiobremen.de/rb/bremenzwei/live/mp3/128/stream.mp3,,,,,,,,
Techno Lovers FM Vocal Trance,https://stream.technolovers.fm/vocal-trance,,,,,,,,
__12PUNKS.FM__ by rautemusik (rm.fm),https://12punks-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__80S__ by rautemusik (rm.fm),https://80s-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__90S__ by rautemusik (rm.fm),https://90s-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__BASS__ by rautemusik (rm.fm),https://bass-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__BEST OF SCHLAGER__ by rautemusik (rm.fm),https://best-of-schlager-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__BIGCITYBEATS.FM__ by rautemusik (rm.fm),https://stream.bigcitybeats.de/bcb-radio/mp3-192/radiobrowser,,,,,,,,
__BREAKZ.FM__ by rautemusik (rm.fm),https://breakz-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__BREAKZ.FM__ by rm.fm (rautemusik),https://breakz-high.rautemusik.fm/?ref=radiobrowserinfo,,,,,,,,
__CHARTHITS.FM__ by rautemusik (rm.fm),https://charthits-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__CHRISTMAS CHOR__ by rautemusik (rm.fm),https://christmas-chor-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__CHRISTMAS SCHLAGER__ by rautemusik (rm.fm),https://christmas-schlager-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__CLUB__ by rautemusik (rm.fm),https://club-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__COUNTRYHITS.FM__ by rautemusik (rm.fm),https://country-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__DEUTSCHE HITS__ by rautemusik (rm.fm),https://deutsche-hits-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__DEUTSCHRAP CHARTS__ by rautemusik (rm.fm),https://deutschrap-charts-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__DEUTSCHRAP CLASSIC__ by rautemusik (rm.fm),https://deutschrap-classic-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__DEUTSCHRAP__ by rautemusik (rm.fm),https://deutschrap-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__GOLDIES__ by rautemusik (rm.fm),https://goldies-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__HAPPY HARDCORE__ by rautemusik (rm.fm),https://happyhardcore-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__HAPPY__ by rautemusik (rm.fm),https://happy-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__HARDER__ by rautemusik (rm.fm),https://harder-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__HOUSE__ by rautemusik (rm.fm),https://house-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
__JAM__ by rautemusik (rm.fm),https://jam-high.rautemusik.fm/?ref=radiobrowser,,,,,,,,
